human,reply
How long we will get the free nettv package?,Well that the good question sir/mam. You will get the free NETTV package to watch the channel but not devices to get that feature. You have to pay for the devices.
"Let us assume, i have subscribed the internet for th.e 12 month with the package 60 Mbps 12 Months (Free 3 NetTv packages). I will get 12 month nettv package free in all the 3 Tv i only have to pay the devices price?",It depends upon the internet package.
Okay Can you explain me about the deposit and the activation price.?,Yes sir/mam
Well thats great. How much warrently i will be getting in the devices?,Well we will provide you the router and the nettv box is rental as it is expensive. Deposit amount is the refundable amount you will get after returning the devices if you discontinue the services. You will also get the warrenty of the devices.
"If some of the issue is found in the internet, where i will update the issue.",Commonly it is 6 month. If the devices got damaged with in the time interval. Your devices will be replaced free of cost.
Thank you so much for clearly understanding the facility you provide to the user.,"To provide the quality services, we have our phone support, field support department to look into the issues. You can update to our department if you have any issue."
Respeted team,Welcome sir. Have a great day
"Currently, i am using the vianet. I didn't like the services it provides to me. I  want to change my ISP company.",Hello sir/mam how can we assist you?
I want the internet connection for the gaming purpose.,okay sir. Please elaborate your query.
Is there any usages limitation in this plan?,"For the gaming, we have got the SME plan.SME packagesFor SME prime,you will get at least 10 hr double bandwidth than you have subscribed and other time your bandwidth will be half as per your subscription. For SME 24,you will get 24 hr double bandwidth as per your subscription. For SME prime,you will get exact bandwidth that you have subscribed during the prime time i.e office hours else than that the bandwidth might fluctuate in off hours. The package is so designed as some clients only need high speed during the office hours. For SME 24,you will get 24 hr exact bandwidth as per your subscription."
Is this the semi dedicated line?,No sir there is no any limitation in this plan. You can play any game with this package.
Inhouse public IP... What does it mean?,Yes sir/mam. This is the semi dedicated line while has no usages limit as well as you will get the inhouse public IP.
Could you please elaborate your statement?,It means you can access the others IP with this network.
Woo thats amazing. Can this package help me to play the GTA V and he CSGO.,"If you subscribed SME plan, you will get the inhouse public IP which is helpfull to forward the port and get access of the external network."
Can you show me the detial price of the package.?,Sure sir. You can play the game without any inteferrance.
How can i book the package?,"Sure sir,SME 24 SME 24 10mbps 1 Month Fee: Rs 3,000 + 13% VAT= 3390 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.7,150 3 Month Fee: Rs 8100 + 13% VAT= 9,153 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 11,283 12 Months Fee: Rs.30,000 + 13% VAT= 33,900 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 36,030 SME 24 20mbps 1 Month Fee: Rs 4,000 + 13% VAT= 4,520 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs. 8,280 3 Month Fee: Rs 11000 + 13% VAT= 12,430 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 14,560 12 Months Fee: Rs.41,000 + 13% VAT= 46,330 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 48,460 SME PRIME SME PRIME 10mbps 1 Month Fee: Rs 2,000 + 13% VAT= 2,260 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.6,020 3 Month Fee: Rs 5,400 + 13% VAT= 6,102 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 8,232 12 Months Fee: Rs 20,000 + 13% VAT= 22,600 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= 24,730 SME PRIME 20mbps 1 Month Fee: Rs 3,000 + 13% VAT= 3,390 Fiber Router Rental= Rs.1000 + 13% VAT= 1,130 Installation Charge= FREE Drop Wire Charge= Rs.1000 + 13% VAT= 1,130 Refundable Deposit= Rs.1500(NO VAT) Total= Rs.7,150 3 Month Fee: Rs 8,100 + 13% VAT= 9,153 Fiber Router Rental= Rs.500 + 13% VAT=Rs.565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT=Rs.565 Refundable Deposit= Rs.1000(NO VAT) Total= 11,283 12 Months Fee: Rs 30,000 + 13% VAT= 33,900 Fiber Router Rental= Rs.500 + 13% VAT= 565 Installation Charge= FREE Drop Wire Charge= Rs.500 + 13% VAT= 565 Refundable Deposit= Rs.1000(NO VAT) Total= Rs.36,030"
Hello sir,You can contact 9801523052 for the new connection.
Could you please me give the detail of the 3 months package.,Hello sir/mam how can we assist you?
I want a new connection.,You want new connection or renew the package?
Please give the detail with the NETTV.,Do you prefer internet with nettv or without nettv?
I want to join your internet.,"3 Month packages with NetTv25 Mbps 3 Months (Free NetTv Package) 3 Month Fee: Rs 4500 + 13% VAT: Rs  5085 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500 + 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 6,715 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs. 7,780 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 3 Months ( Free 2 NetTv Packages) 3 Month Fee: Rs 5,400 + 13% VAT: Rs.6,102 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 7,732 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs. 8,797 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv total : Rs 10,992 **Please be informed that Upload Speed will only be 20mbps** 40 Mbps 3 Months ( Free 3 NetTv Packages) 3 Month Fee: Rs 5800 + 13% VAT: Rs  6,554 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 8,184 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total: Rs. 9,249 With 2 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total : Rs 11,444 With 3 NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 3 NetTv total : Rs 13,639 **Please be informed that Upload Speed will only be 20mbps** 60 Mbps 3 Month (Free 3 NetTv packages) 3 Month Fee: Rs 7800 + 13% VAT: Rs  8,814 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 500+ 13 % VAT : Rs 565 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 10,444 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.11,509 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 13,704 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 15,899 **Please be informed that Upload Speed will only be 50 Mbps*"
Do you have the one month package?,Which package you want to go with?
Can you send me all the detail in my mail.?,Yes sir we do have the one month package.
Ummm. Give the details.,We can send the detail in this chat sir/mam.
Umm,"1 Month Packages With NetTv25 Mbps 1 Month (Free NetTv Package) 1 Month Fee: Rs 1550 + 13%VAT: Rs  1752 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500 (No Tax) Total  : Rs 3,947 With NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With NetTv Total: Rs.5,012 **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 1 Month (Free 2 NetTv Packages) 1 Month Fee: Rs 1850 + 13% VAT: Rs  2090 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs. 500(No Tax) Total  : Rs. 4,285 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv Total : Rs. 5,350 With 2  NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total: 7,545. **Please be informed that Upload Speed will only be 20mbps.** 40 Mbps 1 Month (Free 3 NetTv Packages) 1 Month Fee: Rs 2,000 + 13% VAT: Rs 2,260 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1,000+ 13 % VAT : Rs 1,130 Installation Charge: Free Refundable deposit: Rs 500(No Tax) Total  : Rs 4,455 With 1 NetTv STB: Activation Charge: Rs. 500 + 13%VAT: Rs 565 STB Deposit(refundable): Rs. 500 (No Tax) With 1 NetTv total: Rs. 5,520 With 2  NetTv STB: Activation Charge: Rs. 1500 + 13%VAT: Rs 1,695 STB Deposit(refundable): Rs. 500 (No Tax) With 2 NetTv Total: 7,715. **Please be informed that Upload Speed will only be 20mbps.** 60 Mbps 1 Month (Free 3 NetTv packages) 1 Month Fee: Rs 2700 + 13% VAT: Rs  3,051 Drop Wire: Rs 500+ 13 % VAT : Rs 565 Fiber router : Rs 1000+ 13 % VAT : Rs 1130 Installation Charge: Free Refundable deposit: Rs 500(No Tax) Total  : Rs 5,246 With 1 NetTv STB: Activation Charge= Rs. 500 + 13%VAT= Rs 565 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 1 NetTv STB =  Rs.6,311 With 2 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 2 NetTv STB = Rs. 8,506 With 3 NetTv STB: Activation Charge= Rs. 1,500 + 13%VAT= Rs 1,695 STB Deposit(refundable)= Rs. 500 (No Tax) Total price with 3 NetTv STB = Rs. 10,701 **Please be informed that Upload Speed will only be 50 Mbps*"
Can you tell me about the internet prices?,Hello sir/mam how can we assist you?
I am the existing customer. I just want to renew the packages. Can you send me all the detail with price of internet renew.?,You want new connection or you want to renew the packages.
Is this all the package that you have got?,"Sure sir/mamRenewals for MoreThanJustHighSpeedInternet: 25 Mbps 1 Month ( Free 1 NetTv package ) 1 Month Fee: Rs 1,500 + 13% VAT= Rs 1,695 25 Mbps 1 Month ( Free 2 NetTv packages ) 1 Month Fee: Rs 1,800 + 13% VAT= Rs 2,034 25 Mbps 3 Month ( Free 1  NetTv package) 3 Month Fee: Rs 4,350 + 13% VAT= Rs 4,916 25 Mbps 3 Month ( Free 2  NetTv packages) 3 Month Fee: Rs 5,150+ 13% VAT= Rs 5,820 25 Mbps 12Months ( Free 1  NetTv package ) 12 Month Fee: Rs 14,400 + 13% VAT= Rs 16,272 25 Mbps 12Months ( Free 2  NetTv package ) 12 Month Fee: Rs 16,900 + 13% VAT= Rs 19,097 40 Mbps 1 Month ( Free 2  NetTv packages ) 1 Month Fee: Rs 1,800 + 13% VAT= Rs 2,034 40 Mbps 1 Month ( Free 3  NetTv packages) 1 Month Fee: Rs 2,000 + 13% VAT= Rs 2,260 40 Mbps 3 Months ( Free 2  NetTv packages ) 3 Month Fee: Rs 5,150+ 13% VAT= Rs 5,820 40 Mbps 3 Months ( Free 3  NetTv packages) 3 Month Fee: Rs 5,500 + 13% VAT= Rs 6,215 40 Mbps 12 Months ( Free 2  NetTv packages) 12 Month Fee: Rs 16,900 + 13% VAT= Rs 19,097 40 Mbps 12 Months ( Free 3  NetTv packages) 12 Month Fee: Rs 18,000 + 13% VAT= Rs 20,340 60 Mbps 1 Month ( Free 3  NetTv packages ) 1 Month Fee: Rs 2,700 + 13% VAT= Rs 3,051 60 Mbps 3 Months ( Free 3  NetTv packages) 3 Month Fee: Rs 7,500 + 13% VAT= Rs 8,475 60 Mbps 12 Month ( Free 3  NetTv packages) 12 Month Fee: Rs 25,000 + 13% VAT= Rs 28,250"
😪️😪️😪️,Yes sir it is all the package for the retial user.
I want to know about your device replacement terms and condition?,Hello sir/mam how can we assist you?
You are insanse,"Replacement Terms and ConditionsFor NetTv STB: 1.    SetTop Box Replacement- Rental Charge- Warranty for 6months* Rs.1695(Rs.1500+13%VAT) 2. HDMI Cable Replacement Rs.339(Rs.300+13%VAT) 3. Remote Replacement Rs.452(Rs.400+13%VAT) 4. Adapter of STB Replacement Rs.339(Rs.300+13%VAT) 5. STB wire charge- Free upto 15meters(For additional wire, Rs.17 Per Meter+13%VAT) 6. STB Wire Charge- Free upto 15meters(For additional wire, Rs.17 per meter+13%VAT) 7. 2nd STB Wire charge(same user)- Free upto 15meters(For additional wire, Rs.17 per meter + 13%VAT) For ONU: -          Damaged due to client reasons:- Rs.3955(Rs.3500+13%VAT) o   Physical damage o   Theft / misplace o   High voltage of electricity o   Lightning -          Damaged due to natural disaster will be replaced :  Case base o   Flood o   Earthquake o   Landslide o   Strom -          Damaged due to software malfunction will be repaired, if could not repaired, replace free. -          Fast Connector Change at customer end: Rs 113(Rs.100+13%VAT) -	ONU Power Adapter(No Warranty/Guarantee) Rs.452(Rs.400+13%VAT) -	Secondary router Configuration: FREE(Retail client should visit nearest branch/ SME client wlink will visit at client end) For Drop Wire: Damaged due to client: Rs.904 (Rs.800+13%VAT) Damaged due to govt/pole issues:  Rs.904 (Rs.800+13%VAT)"
Worldlink,No sir/mam We are not.
My internet is not working?,Hello sir/mam how can we assist you?
"Last night, one vehicle cut of my internet fiber cable. Now my internet is not working.",Please elbaorate your issue.
Its not my fault. That truck cut off my wire. Why do i pay for that?,For Drop WireDamaged due to client: Rs.904 (Rs.800+13%VAT) Damaged due to govt/pole issues:  Rs.904 (Rs.800+13%VAT)
I will not pay send you technician.,YOu have to pay for the wire sir/mam.
😡️😡️😡️,Please visit the concern branch office sir/mam
Worldlink representative,Okay sir/mam
My cable has got damaged. Could you please send here technician for the replacement?,Hello sir/mam how can we assist you?
The fiber cable from the nearest pole to my house got damaged.,Which cable got damaged sir/mam?
No i don't.,"Okay sir/mam, Do you know the term and condition for the replacement sir/mam?"
Why do i pay for the wire. Mouse eat it. Mouse will pay🤣️🤣️🤣️,For Drop WireDamaged due to client: Rs.904 (Rs.800+13%VAT) Damaged due to govt/pole issues:  Rs.904 (Rs.800+13%VAT)
😒️😒️😒️,If you wan to replace the wire you have to pay the amount sir/mam.
😜️😜️😜️,If you have any query you can contact our phone support department  9801523051.
I think my ONU device got damage. Non of the light in glowing in router.,Hello sir/mam how can we assist you?
Yes i have.,Have you connect the adaptor to the main electric circuit to the router?
I have got the white nokia router.,Which router do you have?
Let me check.,In the backside of the router you will see the on/off button. please check it out.
Yaa there is off and on button.,Okay sir/mam
status is off. Can i turn it on.?,Check wheather it is on or the off?
Oh router has now power light glowing.,sure sir/mam Please turn it on.
😎️😎️😎️,Okay sir/mam  now it will work.
I think my ONU device got damage. Non of the light in glowing in router.,Hello sir/mam how can we assist you?
Yes,Have you connect the adaptor to the main electric circuit to the router?
I have got the white huawei router.,Which router do you have?
Yaa there is off and on button.,In the backside of the router you will see the on/off button. please check it out.
status is on.,Check wheather it is on or the off?
It has already been 5 year. I am using the same router.,How long it has been you haven't upgrade your router?
No i don't,Your router may get damaged. Do you know the onu term and condition for the replacement.
okay.,"For ONU-          Damaged due to client reasons:- Rs.3955(Rs.3500+13%VAT) o   Physical damage o   Theft / misplace o   High voltage of electricity o   Lightning -          Damaged due to natural disaster will be replaced :  Case base o   Flood o   Earthquake o   Landslide o   Strom -          Damaged due to software malfunction will be repaired, if could not repaired, replace free. -          Fast Connector Change at customer end: Rs 113(Rs.100+13%VAT) -	ONU Power Adapter(No Warranty/Guarantee) Rs.452(Rs.400+13%VAT) -	Secondary router Configuration: FREE(Retail client should visit nearest branch/ SME client wlink will visit at client end)"
🖕️🖕️🖕️,Okay sir/mam
😚️😚️😚️,sorry sir/mam
My internet is working well but my nettv is not working.,Hello sir/mam how can we assist you?
NO non of the light is glowing.,Is there any lights glowing the in NETTV box?
Yes i have.,Have you connect the adaptor to the main electric circuit to the nettv?
From the morning.I guess my nettv box got damaged.,How long it has been you are facing this issue?
Because i think in morning high voltage was there in my circuit.,Why do you think your nettv box got damaged.?
No i don't.,Okay sir/mam. Do you know the term and condition of the NETTV boc replacement?
I want to talk to you. Can you make a call right now for me.?,"For NetTv STB1.    SetTop Box Replacement- Rental Charge- Warranty for 6months* Rs.1695(Rs.1500+13%VAT) 2. HDMI Cable Replacement Rs.339(Rs.300+13%VAT) 3. Remote Replacement Rs.452(Rs.400+13%VAT) 4. Adapter of STB Replacement Rs.339(Rs.300+13%VAT) 5. STB wire charge- Free upto 15meters(For additional wire, Rs.17 Per Meter+13%VAT) 6. STB Wire Charge- Free upto 15meters(For additional wire, Rs.17 per meter+13%VAT) 7. 2nd STB Wire charge(same user)- Free upto 15meters(For additional wire, Rs.17 per meter + 13%VAT)"
Hw brother,You can call our phone support team at 9801523051.
I am your exisiting user. I want to refer my friend. How can i do that?,Hello sir/mam how can we assist you?
Yes sir/mam,Do you use mobile app sir/mam?
Is there any benifit by refering the friend?,"Refer a friend 1. Login to your online service or mobile application. 2. Click on ""Refer offer"" tab. 3. Fill up all the details of your friend. 4. Click ""Refer"" button."
Could you please explain the benifit?,Yes sir/mam there is the benifir for refering friends.
Woo Thats cool. How can i claim the reward?,"If you refer to your friend, You will get the one month internet package free in any of the current package subscribe. You will only get reward after your friend pay the first amount of the internet.After that you can claim the reward."
Okay sir,After your friend make the first payment. You can claim the offer from the mobile app. You can follow the same step as you refer your friend. You will get to see the claim button in  your application. Note that you should claim the reward within one month of your friend has made the payment.
hey,Okay sir/mam
"After i stepup the internet, if there is of the issue regrding the internet. Whome do i contact?",Hello sir/mam how can we assist you?
Okay if my internet got down in saturday. Will you come and maintain it?,"We have ticket service for 24x7 where you can assign from online service or mobile application so that our support representative will contact you for your query. We also have online chat portals through our official website(www.worldlink.com.np) and our official facebook page inbox  too. We will always be available from 6am to 10pm.Besides Phone Calls, Mobile App eService, eMails, Facebook (Web based ChatSupport) is also a feature/platform available for our valued customers to report issues or reach us in most effective way. We apologise that you might have been informed in an inappropriate way. However, we would be glad to assist you in every possible way and glad that you made it up to here, is your issues resolved? If not, we request you to inbox us with your username. We would be glad to assist you right away."
I may have got important work. I may need the support at the concern time.,Your issue will be solve as soon as possible sir/mam
Could you mention the time?,You will get the support at that concern time but if there is any of the outages and technical issue in the connection it will take some time.
Hello,Your issue will be solve within 24 hour sir/mam.
